network,n_nodes,out_degree,weight_regime,mc_model,mc_slope,mc_decay_rate,mc_p_slope,mc_p_slope_fmt,mc_r_squared,mc_mean_p,mc_mean_cohens_d,kr_model,kr_slope,kr_decay_rate,kr_p_slope,kr_p_slope_fmt,kr_r_squared,kr_mean_p,kr_mean_cohens_d
HM,1024,6,adjusted_broad,exponential,-11.9511,-11.9511,0.0007,<0.001,0.9588,0.2502,0.0053,exponential,-21.3492,-21.3492,0.0001,<0.0001,0.9910,0.4804,-0.1286
HM,1024,10,binary,linear,-2.0558,,0.0000,<0.0001,0.9826,0.0000,-2.2623,linear,1.4394,,0.0105,<0.05,0.5356,0.0000,7.8086
HM,1024,10,random_narrow,linear,-2.5428,,0.0000,<0.0001,0.9977,0.0332,-0.6585,linear,1.4424,,0.0073,<0.01,0.5689,0.0012,4.3699
HM,1024,10,random_broad,linear,-5.9567,,0.0001,<0.0001,0.8514,0.0351,-0.2386,linear,-9.7394,,0.0017,<0.01,0.6838,0.1666,-0.4040
HM,1024,10,adjusted_narrow,linear,-2.4014,,0.0000,<0.0001,0.9706,0.1015,-0.9469,linear,1.1455,,0.0127,<0.05,0.5165,0.0000,4.0461
HM,1024,10,adjusted_broad,exponential,-11.2617,-11.2617,0.0007,<0.001,0.9572,0.1818,-0.0826,exponential,-18.2053,-18.2053,0.0001,<0.001,0.9855,0.3665,-0.1385
HCP,64,6,binary,linear,-1.0699,,0.0000,<0.0001,0.9679,0.0000,-2.2742,linear,-0.7582,,0.0000,<0.0001,0.9273,0.0113,-1.3172
HCP,64,6,random_narrow,linear,-1.1242,,0.0000,<0.0001,0.9661,0.0000,-2.1378,linear,-0.5236,,0.0000,<0.0001,0.8871,0.0005,-0.8868
HCP,64,6,random_broad,linear,-2.2952,,0.0000,<0.0001,0.9053,0.0209,-0.3042,linear,-2.3873,,0.0000,<0.0001,0.8725,0.1685,-0.3582
HCP,64,6,adjusted_narrow,linear,-1.0661,,0.0000,<0.0001,0.8625,0.0000,-2.0361,linear,-0.4836,,0.0015,<0.01,0.6911,0.0005,-0.9017
HCP,64,6,adjusted_broad,exponential,-2.6415,-2.6415,0.0017,<0.01,0.9663,0.1803,-0.0881,exponential,-3.2838,-3.2838,0.0001,<0.0001,0.9834,0.4871,-0.0983
HCP,64,10,binary,linear,-0.5566,,0.0000,<0.0001,0.9719,0.0000,-1.1137,linear,-0.1345,,0.0012,<0.01,0.7057,0.2982,-0.2149
HCP,64,10,random_narrow,linear,-0.5753,,0.0000,<0.0001,0.9671,0.0000,-1.0431,linear,0.0036,,0.8703,0.870,0.0031,0.3651,-0.0556
HCP,64,10,random_broad,linear,-1.3279,,0.0000,<0.0001,0.8718,0.1041,-0.2228,linear,-1.0600,,0.0000,<0.0001,0.8807,0.4390,-0.1974
HCP,64,10,adjusted_narrow,linear,-0.5403,,0.0003,<0.001,0.7793,0.0000,-1.0156,linear,-0.0273,,0.2107,0.211,0.1679,0.3855,-0.0662
HCP,64,10,adjusted_broad,exponential,-0.2954,-0.2954,0.6737,0.674,0.9338,0.0883,-0.0648,exponential,-0.4998,-0.4998,0.4784,0.478,0.9351,0.2671,-0.0869
HCP,128,6,binary,linear,-1.0406,,0.0000,<0.0001,0.9417,0.0000,-4.5598,linear,-0.5345,,0.0004,<0.001,0.7742,0.0001,-1.0355
HCP,128,6,random_narrow,linear,-1.1622,,0.0000,<0.0001,0.9369,0.0000,-4.3302,linear,-0.2982,,0.0001,<0.0001,0.8416,0.0001,-1.4909
HCP,128,6,random_broad,linear,-3.1957,,0.0000,<0.0001,0.8986,0.0501,-0.4027,linear,-3.2727,,0.0000,<0.0001,0.8598,0.1505,-0.6335
HCP,128,6,adjusted_narrow,linear,-1.0795,,0.0002,<0.001,0.8093,0.0000,-4.1401,linear,-0.3091,,0.0014,<0.01,0.6984,0.0001,-1.4014
HCP,128,6,adjusted_broad,exponential,-3.5973,-3.5973,0.0004,<0.001,0.9701,0.2872,-0.1759,exponential,-5.0838,-5.0838,0.0000,<0.0001,0.9837,0.3546,-0.2758
HCP,128,10,binary,linear,-0.6016,,0.0000,<0.0001,0.9738,0.0000,-1.9842,linear,-0.0164,,0.4364,0.436,0.0686,0.4176,0.0555
HCP,128,10,random_narrow,linear,-0.6232,,0.0000,<0.0001,0.9627,0.0000,-2.0708,linear,-0.0418,,0.0911,0.091,0.2844,0.1568,-0.3984
HCP,128,10,random_broad,linear,-2.0771,,0.0000,<0.0001,0.9308,0.0314,-0.2004,linear,-2.2436,,0.0000,<0.0001,0.8759,0.1974,-0.3213
HCP,128,10,adjusted_narrow,linear,-0.5974,,0.0004,<0.001,0.7646,0.0000,-2.0182,linear,-0.0345,,0.0806,0.081,0.3008,0.1209,-0.4941
HCP,128,10,adjusted_broad,exponential,-1.9649,-1.9649,0.0000,<0.0001,0.9935,0.2440,-0.0524,exponential,-2.7106,-2.7106,0.0000,<0.0001,0.9886,0.4843,-0.0377
HCP,256,6,binary,linear,-1.0830,,0.0000,<0.0001,0.9469,0.0000,-7.4525,linear,-0.5382,,0.0002,<0.001,0.7918,0.0000,-1.5638
HCP,256,6,random_narrow,linear,-1.2613,,0.0000,<0.0001,0.9555,0.0000,-7.1800,linear,-0.3982,,0.0020,<0.01,0.6732,0.0000,-2.1959
HCP,256,6,random_broad,linear,-4.4725,,0.0000,<0.0001,0.9112,0.1723,-0.2423,linear,-4.3582,,0.0000,<0.0001,0.8751,0.2359,-0.6203
HCP,256,6,adjusted_narrow,linear,-1.2037,,0.0001,<0.0001,0.8497,0.0000,-6.6207,linear,-0.2491,,0.1400,0.140,0.2254,0.0000,-2.2001
HCP,256,6,adjusted_broad,exponential,-5.9126,-5.9126,0.0008,<0.001,0.9496,0.2636,-0.1090,exponential,-6.8839,-6.8839,0.0003,<0.001,0.9606,0.5207,-0.2014
HCP,256,10,binary,linear,-0.6957,,0.0000,<0.0001,0.9819,0.0000,-3.0722,linear,0.0273,,0.3468,0.347,0.0987,0.5298,-0.0712
HCP,256,10,random_narrow,linear,-0.7500,,0.0000,<0.0001,0.9747,0.0000,-3.3569,linear,-0.0764,,0.0082,<0.01,0.5582,0.0645,-0.8224
HCP,256,10,random_broad,linear,-3.4541,,0.0000,<0.0001,0.9264,0.1719,-0.2550,linear,-2.9964,,0.0000,<0.0001,0.8582,0.2128,-0.3946
HCP,256,10,adjusted_narrow,linear,-0.6682,,0.0006,<0.001,0.7474,0.0000,-3.0616,linear,-0.0091,,0.7800,0.780,0.0091,0.0494,-0.8343
HCP,256,10,adjusted_broad,exponential,-3.3755,-3.3755,0.0006,<0.001,0.9681,0.3682,-0.0744,exponential,-3.9169,-3.9169,0.0003,<0.001,0.9688,0.5200,-0.0495
HCP,512,6,binary,linear,-1.4749,,0.0000,<0.0001,0.9715,0.0000,-10.4084,linear,-0.4000,,0.0458,<0.05,0.3735,0.0000,-2.9909
HCP,512,6,random_narrow,linear,-1.6357,,0.0000,<0.0001,0.9740,0.0000,-9.9782,linear,-0.7382,,0.0001,<0.001,0.8128,0.0000,-2.8121
HCP,512,6,random_broad,linear,-6.1952,,0.0000,<0.0001,0.9265,0.1505,-0.1142,linear,-7.3673,,0.0001,<0.0001,0.8364,0.5109,-0.3878
HCP,512,6,adjusted_narrow,linear,-1.6729,,0.0000,<0.0001,0.9210,0.0000,-8.9287,linear,-0.2509,,0.2876,0.288,0.1243,0.0000,-2.8114
HCP,512,6,adjusted_broad,exponential,-8.0481,-8.0481,0.0011,<0.01,0.9439,0.0934,-0.1001,exponential,-11.6964,-11.6964,0.0002,<0.001,0.9710,0.4566,-0.1598
HCP,512,10,binary,linear,-1.0637,,0.0000,<0.0001,0.9982,0.0000,-3.8966,linear,0.0000,,1.0000,1.000,0.0000,0.4044,0.0748
HCP,512,10,random_narrow,linear,-1.1229,,0.0000,<0.0001,0.9984,0.0000,-3.5947,linear,-0.0000,,1.0000,1.000,0.0000,0.2008,-0.7325
HCP,512,10,random_broad,linear,-5.1502,,0.0000,<0.0001,0.9278,0.0528,-0.0517,linear,-5.2255,,0.0001,<0.001,0.8254,0.5191,0.0847
HCP,512,10,adjusted_narrow,linear,-1.1174,,0.0000,<0.0001,0.9216,0.0000,-3.1552,linear,0.0655,,0.3810,0.381,0.0862,0.1060,-0.7855
HCP,512,10,adjusted_broad,exponential,-6.2318,-6.2318,0.0000,<0.0001,0.9777,0.1080,0.0889,exponential,-8.4489,-8.4489,0.0002,<0.001,0.9657,0.4197,0.1160
HCP,1024,6,binary,linear,-3.8072,,0.0000,<0.0001,0.9911,0.0000,-4.6488,linear,0.0000,,,NaN,,0.0394,-0.7406
HCP,1024,6,random_narrow,linear,-4.4225,,0.0000,<0.0001,0.9840,0.0000,-3.7949,linear,-1.0697,,0.0002,<0.001,0.8054,0.0595,-2.6154
HCP,1024,6,random_broad,linear,-7.8183,,0.0001,<0.001,0.8255,0.1258,0.0969,linear,-18.1152,,0.0012,<0.01,0.7084,0.4121,-0.0098
HCP,1024,6,adjusted_narrow,linear,-4.2738,,0.0000,<0.0001,0.9699,0.0000,-3.8613,linear,-0.5606,,0.0951,0.095,0.2786,0.0023,-2.4130
HCP,1024,6,adjusted_broad,exponential,-14.5082,-14.5082,0.0001,<0.001,0.9805,0.2660,-0.0275,exponential,-22.7397,-22.7397,0.0000,<0.0001,0.9948,0.4403,-0.1506
HCP,1024,10,binary,linear,-1.6880,,0.0000,<0.0001,0.9964,0.0000,-4.7496,linear,0.0000,,,NaN,,0.2432,-0.2227
HCP,1024,10,random_narrow,linear,-2.1826,,0.0000,<0.0001,0.9918,0.0000,-3.6554,linear,-0.5242,,0.0031,<0.01,0.6414,0.0001,-3.6110
HCP,1024,10,random_broad,linear,-7.3646,,0.0000,<0.0001,0.9120,0.1684,-0.0631,linear,-10.2273,,0.0001,<0.0001,0.8496,0.5235,-0.1226
HCP,1024,10,adjusted_narrow,linear,-2.0178,,0.0000,<0.0001,0.9818,0.0000,-3.2303,linear,-0.1182,,0.6659,0.666,0.0217,0.0011,-2.5954
HCP,1024,10,adjusted_broad,exponential,-8.8310,-8.8310,0.0001,<0.001,0.9720,0.1389,-0.0740,exponential,-15.3982,-15.3982,0.0001,<0.0001,0.9830,0.5382,-0.1765
HMCP,64,6,binary,linear,-1.2252,,0.0000,<0.0001,0.9893,0.1332,-0.1114,linear,-0.4073,,0.0000,<0.0001,0.8806,0.3202,0.2385
HMCP,64,6,random_narrow,linear,-1.2370,,0.0000,<0.0001,0.9880,0.2376,-0.1491,linear,-0.5382,,0.0000,<0.0001,0.9023,0.2461,0.2994
HMCP,64,6,random_broad,linear,-2.6292,,0.0000,<0.0001,0.9317,0.1506,-0.2118,linear,-2.8618,,0.0000,<0.0001,0.9059,0.4995,-0.1699
HMCP,64,6,adjusted_narrow,linear,-1.2287,,0.0000,<0.0001,0.9476,0.0988,-0.1905,linear,-0.5236,,0.0000,<0.0001,0.8988,0.2576,0.2582
HMCP,64,6,adjusted_broad,exponential,-2.2108,-2.2108,0.0279,<0.05,0.9250,0.2978,-0.0833,exponential,-3.8873,-3.8873,0.0016,<0.01,0.9501,0.5064,-0.0252
HMCP,64,10,binary,linear,-0.5557,,0.0000,<0.0001,0.9661,0.0000,1.2656,linear,-0.0545,,0.6010,0.601,0.0316,0.0896,0.5131
HMCP,64,10,random_narrow,linear,-0.5289,,0.0000,<0.0001,0.9334,0.0000,1.0710,linear,-0.0836,,0.4501,0.450,0.0648,0.0005,1.0137
HMCP,64,10,random_broad,linear,-1.4126,,0.0004,<0.001,0.7623,0.1597,-0.1773,linear,-1.1764,,0.0005,<0.001,0.7578,0.3460,-0.1762
HMCP,64,10,adjusted_narrow,linear,-0.5220,,0.0001,<0.001,0.8230,0.0000,0.9500,linear,-0.1455,,0.1676,0.168,0.2003,0.0006,0.8753
HMCP,64,10,adjusted_broad,exponential,-0.4940,-0.4940,0.2461,0.246,0.9766,0.4559,-0.0258,exponential,-0.9228,-0.9228,0.0355,<0.05,0.9806,0.5817,-0.0813
HMCP,128,6,binary,linear,-1.6567,,0.0000,<0.0001,0.9810,0.0901,-0.3566,linear,-0.6673,,0.0001,<0.0001,0.8423,0.0665,0.8697
HMCP,128,6,random_narrow,linear,-1.7163,,0.0000,<0.0001,0.9791,0.0002,-0.7505,linear,-0.8109,,0.0000,<0.0001,0.9686,0.0559,0.5495
HMCP,128,6,random_broad,linear,-4.0743,,0.0000,<0.0001,0.8780,0.1238,-0.2365,linear,-4.4655,,0.0000,<0.0001,0.8808,0.1603,-0.3536
HMCP,128,6,adjusted_narrow,linear,-1.7341,,0.0000,<0.0001,0.9293,0.0001,-0.8334,linear,-0.8200,,0.0000,<0.0001,0.9199,0.1921,0.4931
HMCP,128,6,adjusted_broad,exponential,-4.3313,-4.3313,0.0000,<0.0001,0.9859,0.0718,-0.0961,exponential,-5.5223,-5.5223,0.0000,<0.0001,0.9892,0.3764,-0.0916
HMCP,128,10,binary,linear,-1.0412,,0.0000,<0.0001,0.8919,0.0111,0.4555,linear,-0.2745,,0.0020,<0.01,0.6710,0.0034,0.7982
HMCP,128,10,random_narrow,linear,-1.0274,,0.0000,<0.0001,0.8887,0.0000,0.1437,linear,-0.4727,,0.0004,<0.001,0.7680,0.0000,1.3735
HMCP,128,10,random_broad,linear,-2.5932,,0.0000,<0.0001,0.8599,0.0762,-0.3758,linear,-2.4455,,0.0003,<0.001,0.7829,0.2045,-0.5191
HMCP,128,10,adjusted_narrow,linear,-1.0263,,0.0012,<0.01,0.7060,0.0043,-0.0960,linear,-0.4764,,0.0024,<0.01,0.6599,0.0015,1.0046
HMCP,128,10,adjusted_broad,exponential,-1.8980,-1.8980,0.0027,<0.01,0.9755,0.2639,-0.0558,exponential,-3.2914,-3.2914,0.0003,<0.001,0.9738,0.3902,-0.1718
HMCP,256,6,binary,linear,-1.8640,,0.0000,<0.0001,0.9244,0.0000,-2.9568,linear,-0.5091,,0.0013,<0.01,0.6996,0.1370,0.4209
