network,n_nodes,out_degree,weight_regime,reciprocity,mc_struct_mean,mc_struct_std,mc_null_random_mean,mc_null_random_std,mc_p_value,mc_cohens_d,mc_p_fmt,kr_struct_mean,kr_struct_std,kr_null_random_mean,kr_null_random_std,kr_p_value,kr_cohens_d,kr_p_fmt
SW,64,10,random_narrow,0.9000,9.2465,0.2403,9.0665,0.2391,0.0000,0.7521,<0.0001,5.0000,0.2828,4.9840,0.0543,0.6982,0.0786,0.698
SW,64,10,random_narrow,1.0000,9.2289,0.2578,8.9843,0.2419,0.0000,1.0000,<0.0001,5.0200,0.1400,4.9640,0.0768,0.0159,0.4959,<0.05
SW,64,10,random_broad,0.0000,14.1180,1.0978,14.1000,1.0081,0.8008,0.0175,0.801,9.6200,1.0176,9.6040,0.4791,0.9209,0.0201,0.921
SW,64,10,random_broad,0.1000,14.0378,0.9083,13.9776,1.1826,0.4471,0.0527,0.447,9.4800,0.9847,9.5000,0.4968,0.8992,-0.0256,0.899
SW,64,10,random_broad,0.2000,13.6499,1.0914,13.9536,1.1318,0.0001,-0.2699,<0.001,9.2000,0.8718,9.3720,0.5367,0.2424,-0.2376,0.242
SW,64,10,random_broad,0.3000,13.5348,1.1804,13.7722,1.1496,0.0031,-0.2056,<0.01,8.9200,1.0553,9.3280,0.5072,0.0165,-0.4928,<0.05
SW,64,10,random_broad,0.4000,13.4171,1.5679,13.5673,1.0960,0.0685,-0.1264,0.068,9.2400,1.4637,9.1600,0.4613,0.7160,0.0737,0.716
SW,64,10,random_broad,0.5000,13.5044,1.3434,13.4802,1.0988,0.7604,0.0211,0.760,9.3200,1.1391,8.9880,0.5620,0.0703,0.3696,0.070
SW,64,10,random_broad,0.6000,13.2906,1.0707,13.1786,1.2467,0.1853,0.0919,0.185,9.1400,1.1491,8.8160,0.4831,0.0719,0.3676,0.072
SW,64,10,random_broad,0.7000,13.0150,1.5527,13.1229,1.2634,0.2374,-0.0820,0.237,8.7800,1.1712,8.7960,0.4481,0.9290,-0.0180,0.929
SW,64,10,random_broad,0.8000,13.0700,1.1581,12.9689,1.2759,0.2462,0.0804,0.246,8.8000,0.8944,8.7120,0.4217,0.5348,0.1259,0.535
SW,64,10,random_broad,0.9000,12.5058,1.4417,12.8845,1.3002,0.0000,-0.2859,<0.0001,8.3000,1.1874,8.5960,0.4956,0.1105,-0.3253,0.111
SW,64,10,random_broad,1.0000,12.8267,1.1626,12.7406,1.2264,0.3073,0.0708,0.307,8.6600,1.1245,8.4440,0.5220,0.2255,0.2464,0.226
SW,64,10,adjusted_narrow,0.0000,9.5318,0.2368,9.5403,0.2399,0.6074,-0.0356,0.607,5.0400,0.2800,5.0320,0.1157,0.8537,0.0373,0.854
SW,64,10,adjusted_narrow,0.1000,9.4814,0.2304,9.5076,0.2422,0.1158,-0.1091,0.116,5.0200,0.2441,5.0440,0.1003,0.5259,-0.1286,0.526
SW,64,10,adjusted_narrow,0.2000,9.4700,0.2246,9.4356,0.2254,0.0277,0.1528,<0.05,5.0600,0.3105,5.0200,0.0917,0.3892,0.1747,0.389
SW,64,10,adjusted_narrow,0.3000,9.4027,0.2168,9.3894,0.2355,0.4116,0.0569,0.412,5.0000,0.2000,5.0080,0.1055,0.8049,-0.0500,0.805
SW,64,10,adjusted_narrow,0.4000,9.3357,0.2399,9.2997,0.2410,0.0311,0.1496,<0.05,5.0000,0.2828,5.0200,0.1149,0.6475,-0.0926,0.648
SW,64,10,adjusted_narrow,0.5000,9.3018,0.2429,9.2377,0.2357,0.0001,0.2710,<0.0001,5.0200,0.1400,4.9960,0.0747,0.2924,0.2139,0.292
SW,64,10,adjusted_narrow,0.6000,9.2914,0.2505,9.1833,0.2515,0.0000,0.4300,<0.0001,5.0000,0.0000,4.9800,0.0721,0.0580,0.2774,0.058
SW,64,10,adjusted_narrow,0.7000,9.2119,0.2625,9.0905,0.2339,0.0000,0.5083,<0.0001,5.0200,0.1400,4.9920,0.0560,0.1967,0.2626,0.197
SW,64,10,adjusted_narrow,0.8000,9.2180,0.2407,9.0330,0.2404,0.0000,0.7698,<0.0001,5.0000,0.2000,4.9880,0.0621,0.6892,0.0810,0.689
SW,64,10,adjusted_narrow,0.9000,9.1666,0.2639,8.9736,0.2346,0.0000,0.8054,<0.0001,4.9200,0.2713,4.9760,0.0650,0.1631,-0.2839,0.163
SW,64,10,adjusted_narrow,1.0000,9.3692,0.2866,9.1253,0.2781,0.0000,0.8723,<0.0001,5.0600,0.3693,4.9920,0.0688,0.2081,0.2560,0.208
SW,64,10,adjusted_broad,0.0000,14.1834,1.0482,14.1181,1.0036,0.3512,0.0647,0.351,9.6200,1.0176,9.6040,0.4791,0.9209,0.0201,0.921
SW,64,10,adjusted_broad,0.1000,13.5974,1.0699,13.4240,1.5767,0.0966,0.1153,0.097,9.0800,0.9968,8.9880,0.5884,0.5792,0.1124,0.579
SW,64,10,adjusted_broad,0.2000,12.5443,1.6418,12.9543,1.6637,0.0004,-0.2470,<0.001,8.2600,1.2932,8.5760,0.6370,0.1282,-0.3100,0.128
SW,64,10,adjusted_broad,0.3000,12.2448,1.7310,12.2899,1.7781,0.7134,-0.0255,0.713,8.0800,1.3090,8.0880,0.5895,0.9690,-0.0079,0.969
SW,64,10,adjusted_broad,0.4000,11.2844,1.9167,11.6559,1.6005,0.0013,-0.2241,<0.01,7.5800,1.6503,7.7240,0.5945,0.5669,-0.1161,0.567
SW,64,10,adjusted_broad,0.5000,11.1541,1.7383,11.1422,1.5890,0.9156,0.0073,0.916,7.3000,1.3304,7.2920,0.5589,0.9691,0.0078,0.969
SW,64,10,adjusted_broad,0.6000,10.7450,1.6673,10.9287,1.5742,0.0958,-0.1156,0.096,7.1600,1.2862,7.2200,0.5188,0.7627,-0.0612,0.763
SW,64,10,adjusted_broad,0.7000,10.5962,1.7660,10.3220,1.5249,0.0117,0.1749,<0.05,7.0400,1.1993,6.7280,0.4846,0.0945,0.3411,0.095
SW,64,10,adjusted_broad,0.8000,10.0205,1.6374,10.1270,1.4486,0.2999,-0.0719,0.300,6.3400,1.1421,6.5640,0.4694,0.2071,-0.2565,0.207
SW,64,10,adjusted_broad,0.9000,9.5410,1.7514,9.5591,1.5578,0.8694,-0.0114,0.869,6.1200,1.0703,6.2520,0.5182,0.4390,-0.1570,0.439
SW,64,10,adjusted_broad,1.0000,8.7581,1.4446,8.7594,1.5453,0.9902,-0.0008,0.990,5.6800,0.9261,5.6920,0.5517,0.9380,-0.0157,0.938
SW,128,6,binary,0.0000,12.0754,0.2498,11.9964,0.2177,0.0000,0.3535,<0.0001,6.3200,0.4665,6.1600,0.1386,0.0235,0.4650,<0.05
SW,128,6,binary,0.1000,11.9736,0.2376,11.8871,0.2205,0.0000,0.3873,<0.0001,6.3400,0.4737,6.0920,0.1454,0.0007,0.7078,<0.001
SW,128,6,binary,0.2000,11.8838,0.2670,11.7655,0.2239,0.0000,0.5108,<0.0001,6.1800,0.4331,6.0600,0.1077,0.0628,0.3802,0.063
SW,128,6,binary,0.3000,11.7707,0.2407,11.6046,0.2311,0.0000,0.7134,<0.0001,6.1800,0.3842,5.9760,0.1031,0.0005,0.7253,<0.001
SW,128,6,binary,0.4000,11.6194,0.2715,11.4632,0.2425,0.0000,0.6314,<0.0001,6.1000,0.3000,6.0280,0.0981,0.1135,0.3226,0.114
SW,128,6,binary,0.5000,11.5435,0.2517,11.3066,0.2434,0.0000,0.9681,<0.0001,6.0400,0.1960,6.0080,0.0688,0.2834,0.2179,0.283
SW,128,6,binary,0.6000,11.4313,0.2542,11.1549,0.2550,0.0000,1.0841,<0.0001,6.0600,0.2375,5.9880,0.0475,0.0400,0.4204,<0.05
SW,128,6,binary,0.7000,11.3355,0.2441,11.0024,0.2609,0.0000,1.2903,<0.0001,6.0800,0.2713,5.9760,0.0650,0.0105,0.5272,<0.05
SW,128,6,binary,0.8000,11.2189,0.2671,10.8652,0.2593,0.0000,1.3572,<0.0001,6.1200,0.3816,5.9960,0.0280,0.0255,0.4583,<0.05
SW,128,6,binary,0.9000,11.0763,0.2841,10.7178,0.2737,0.0000,1.3014,<0.0001,6.1000,0.3000,5.9760,0.0650,0.0057,0.5713,<0.01
SW,128,6,binary,1.0000,10.9203,0.2832,10.5720,0.2745,0.0000,1.2623,<0.0001,6.0200,0.1400,5.9640,0.0768,0.0159,0.4959,<0.05
SW,128,6,random_narrow,0.0000,12.6998,0.2789,12.6078,0.2460,0.0000,0.3651,<0.0001,6.8200,0.3842,6.6280,0.2333,0.0035,0.6041,<0.01
SW,128,6,random_narrow,0.1000,12.5544,0.2858,12.4811,0.2580,0.0001,0.2789,<0.0001,6.7400,0.4386,6.5280,0.2289,0.0034,0.6059,<0.01
SW,128,6,random_narrow,0.2000,12.4839,0.2600,12.3267,0.2459,0.0000,0.6332,<0.0001,6.7000,0.4583,6.4200,0.2010,0.0002,0.7913,<0.001
SW,128,6,random_narrow,0.3000,12.2928,0.2935,12.1762,0.2613,0.0000,0.4371,<0.0001,6.5000,0.5000,6.2800,0.2263,0.0061,0.5669,<0.01
SW,128,6,random_narrow,0.4000,12.1570,0.2670,12.0020,0.2621,0.0000,0.5899,<0.0001,6.3400,0.4737,6.1960,0.1897,0.0510,0.3991,0.051
SW,128,6,random_narrow,0.5000,12.0058,0.2497,11.8543,0.2717,0.0000,0.5650,<0.0001,6.3800,0.4854,6.1480,0.1952,0.0025,0.6271,<0.01
SW,128,6,random_narrow,0.6000,11.9466,0.2785,11.7166,0.2760,0.0000,0.8323,<0.0001,6.3400,0.4737,6.0400,0.1386,0.0000,0.8596,<0.0001
SW,128,6,random_narrow,0.7000,11.7924,0.2745,11.5723,0.2845,0.0000,0.7781,<0.0001,6.3400,0.4737,6.0320,0.1085,0.0000,0.8963,<0.0001
SW,128,6,random_narrow,0.8000,11.6904,0.2808,11.4058,0.2760,0.0000,1.0283,<0.0001,6.2600,0.4821,6.0240,0.0862,0.0011,0.6815,<0.01
SW,128,6,random_narrow,0.9000,11.5823,0.2950,11.2409,0.2930,0.0000,1.1638,<0.0001,6.2800,0.4490,5.9680,0.1085,0.0000,0.9552,<0.0001
SW,128,6,random_narrow,1.0000,11.5098,0.3011,11.1156,0.2963,0.0000,1.3269,<0.0001,6.2800,0.4915,5.9880,0.0475,0.0001,0.8362,<0.0001
SW,128,6,random_broad,0.0000,17.8757,1.6085,17.6398,1.4629,0.0223,0.1586,<0.05,15.4000,2.3065,14.8720,0.8942,0.1384,0.3018,0.138
SW,128,6,random_broad,0.1000,16.3899,2.0752,16.8100,2.0138,0.0028,-0.2076,<0.01,13.6200,2.7777,13.9320,1.2928,0.4776,-0.1440,0.478
SW,128,6,random_broad,0.2000,15.7702,2.6294,15.7903,2.5818,0.9106,-0.0078,0.911,13.2400,3.4033,12.6480,1.4174,0.2637,0.2271,0.264
SW,128,6,random_broad,0.3000,14.9384,2.7433,15.4100,2.4941,0.0074,-0.1859,<0.01,11.8400,2.9756,12.2240,1.2791,0.4086,-0.1677,0.409
SW,128,6,random_broad,0.4000,14.9199,2.2074,14.6830,2.6252,0.1821,0.0925,0.182,12.2400,2.9971,11.3800,1.2682,0.0674,0.3737,0.067
SW,128,6,random_broad,0.5000,14.3120,2.5184,14.5165,2.5560,0.2475,-0.0802,0.248,11.0800,2.6970,11.1840,0.9362,0.7993,-0.0515,0.799
SW,128,6,random_broad,0.6000,14.7735,2.2088,14.1066,2.3787,0.0000,0.2836,<0.0001,11.8000,2.8983,10.8560,1.0933,0.0354,0.4310,<0.05
SW,128,6,random_broad,0.7000,14.0964,2.0475,13.6590,2.4114,0.0075,0.1857,<0.01,10.8800,2.3886,10.3200,1.3523,0.1564,0.2885,0.156
SW,128,6,random_broad,0.8000,13.7308,2.1350,13.2771,2.3697,0.0051,0.1945,<0.01,10.3000,2.2023,10.0640,1.1124,0.5047,0.1353,0.505
SW,128,6,random_broad,0.9000,12.7079,2.5719,13.0595,2.2963,0.0307,-0.1500,<0.05,9.7800,3.0219,9.7960,1.3638,0.9731,-0.0068,0.973
SW,128,6,random_broad,1.0000,12.2639,2.4757,12.9674,2.0066,0.0000,-0.3363,<0.0001,9.2400,3.0170,9.6200,1.0742,0.4082,-0.1678,0.408
SW,128,6,adjusted_narrow,0.0000,12.7071,0.2683,12.6021,0.2456,0.0000,0.4208,<0.0001,6.8200,0.3842,6.6280,0.2333,0.0035,0.6041,<0.01
SW,128,6,adjusted_narrow,0.1000,12.5356,0.2823,12.4333,0.2536,0.0000,0.3958,<0.0001,6.7400,0.4821,6.5000,0.2236,0.0021,0.6387,<0.01
SW,128,6,adjusted_narrow,0.2000,12.4171,0.2880,12.2610,0.2562,0.0000,0.5961,<0.0001,6.6400,0.4800,6.3800,0.2126,0.0008,0.7004,<0.001
SW,128,6,adjusted_narrow,0.3000,12.1911,0.2600,12.0820,0.2640,0.0000,0.4144,<0.0001,6.4800,0.4996,6.2640,0.2381,0.0075,0.5519,<0.01
SW,128,6,adjusted_narrow,0.4000,12.0038,0.2810,11.8637,0.2759,0.0000,0.5063,<0.0001,6.2600,0.5219,6.1760,0.1903,0.2925,0.2138,0.292
SW,128,6,adjusted_narrow,0.5000,11.8938,0.2789,11.7260,0.2797,0.0000,0.6004,<0.0001,6.2600,0.4386,6.1240,0.1955,0.0502,0.4005,0.050
SW,128,6,adjusted_narrow,0.6000,11.7493,0.3007,11.5479,0.2823,0.0000,0.7054,<0.0001,6.2600,0.4386,6.0160,0.1433,0.0004,0.7478,<0.001
SW,128,6,adjusted_narrow,0.7000,11.6271,0.2887,11.3953,0.2908,0.0000,0.7980,<0.0001,6.2800,0.4490,6.0000,0.1058,0.0000,0.8584,<0.0001
SW,128,6,adjusted_narrow,0.8000,11.5105,0.3056,11.2359,0.2865,0.0000,0.9475,<0.0001,6.2400,0.4271,6.0040,0.1019,0.0003,0.7601,<0.001
